Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Los Angeles Kings,2012,20,16,4,0,4,0,0.8,57,30,27
2,New Jersey Devils,2012,24,14,10,0,4,3,0.583,59,58,1
3,New York Rangers,2012,20,10,10,0,2,3,0.5,43,41,2
4,Phoenix Coyotes,2012,16,9,7,0,4,3,0.563,37,35,2
5,Washington Capitals,2012,14,7,7,0,2,4,0.5,29,30,-1
6,Nashville Predators,2012,10,5,5,0,0,1,0.5,22,21,1
7,Philadelphia Flyers,2012,11,5,6,0,2,1,0.455,41,44,-3
8,St. Louis Blues,2012,9,4,5,0,0,1,0.444,20,23,-3
9,Boston Bruins,2012,7,3,4,0,2,2,0.429,15,16,-1
10,Ottawa Senators,2012,7,3,4,0,2,0,0.429,13,14,-1
11,Florida Panthers,2012,7,3,4,0,0,2,0.429,17,18,-1
12,Pittsburgh Penguins,2012,6,2,4,0,0,1,0.333,26,30,-4
13,Chicago Blackhawks,2012,6,2,4,0,2,3,0.333,12,17,-5
14,Detroit Red Wings,2012,5,1,4,0,0,0,0.2,9,13,-4
15,Vancouver Canucks,2012,5,1,4,0,0,1,0.2,8,12,-4
16,San Jose Sharks,2012,5,1,4,0,1,0,0.2,8,14,-6
