Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Los Angeles Kings,2014,26,16,10,0,5,2,0.615,88,70,18
2,New York Rangers,2014,25,13,12,0,2,4,0.52,64,60,4
3,Chicago Blackhawks,2014,19,11,8,0,4,3,0.579,58,55,3
4,Montreal Canadiens,2014,17,10,7,0,3,2,0.588,51,46,5
5,Boston Bruins,2014,12,7,5,0,2,1,0.583,30,26,4
6,Anaheim Ducks,2014,13,7,6,0,1,1,0.538,35,37,-2
7,Pittsburgh Penguins,2014,13,7,6,0,0,3,0.538,35,33,2
8,Minnesota Wild,2014,13,6,7,0,2,3,0.462,35,35,0
9,Colorado Avalanche,2014,7,3,4,0,2,2,0.429,20,22,-2
10,Philadelphia Flyers,2014,7,3,4,0,0,0,0.429,16,19,-3
11,San Jose Sharks,2014,7,3,4,0,1,0,0.429,22,26,-4
12,Dallas Stars,2014,6,2,4,0,0,1,0.333,18,20,-2
13,Columbus Blue Jackets,2014,6,2,4,0,2,0,0.333,18,21,-3
14,St. Louis Blues,2014,6,2,4,0,2,2,0.333,14,20,-6
15,Detroit Red Wings,2014,5,1,4,0,0,1,0.2,6,14,-8
16,Tampa Bay Lightning,2014,4,0,4,0,0,1,0,10,16,-6
