Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Pittsburgh Penguins,2009,24,16,8,0,3,1,0.667,79,64,15
2,Detroit Red Wings,2009,23,15,8,0,2,2,0.652,76,48,28
3,Chicago Blackhawks,2009,17,9,8,0,3,2,0.529,54,54,0
4,Carolina Hurricanes,2009,18,8,10,0,3,1,0.444,42,52,-10
5,Boston Bruins,2009,11,7,4,0,0,2,0.636,34,22,12
6,Anaheim Ducks,2009,13,7,6,0,1,1,0.538,35,32,3
7,Washington Capitals,2009,14,7,7,0,1,2,0.5,41,38,3
8,Vancouver Canucks,2009,10,6,4,0,1,1,0.6,30,28,2
9,New Jersey Devils,2009,7,3,4,0,1,1,0.429,15,17,-2
10,New York Rangers,2009,7,3,4,0,0,0,0.429,11,19,-8
11,Philadelphia Flyers,2009,6,2,4,0,0,1,0.333,16,18,-2
12,Calgary Flames,2009,6,2,4,0,0,1,0.333,16,21,-5
13,San Jose Sharks,2009,6,2,4,0,1,0,0.333,10,18,-8
14,St. Louis Blues,2009,4,0,4,0,0,1,0,5,11,-6
15,Montreal Canadiens,2009,4,0,4,0,0,0,0,6,17,-11
16,Columbus Blue Jackets,2009,4,0,4,0,0,0,0,7,18,-11
