Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Detroit Red Wings,2008,22,16,6,0,1,1,0.727,72,41,31
2,Pittsburgh Penguins,2008,20,14,6,0,2,0,0.7,61,43,18
3,Dallas Stars,2008,18,10,8,0,3,1,0.556,45,41,4
4,Philadelphia Flyers,2008,17,9,8,0,2,1,0.529,52,54,-2
5,San Jose Sharks,2008,13,6,7,0,1,3,0.462,30,32,-2
6,New York Rangers,2008,10,5,5,0,0,2,0.5,31,27,4
7,Montreal Canadiens,2008,12,5,7,0,2,1,0.417,33,35,-2
8,Colorado Avalanche,2008,10,4,6,0,1,2,0.4,26,33,-7
9,Calgary Flames,2008,7,3,4,0,0,0,0.429,17,19,-2
10,Boston Bruins,2008,7,3,4,0,1,1,0.429,15,19,-4
11,Washington Capitals,2008,7,3,4,0,0,2,0.429,20,23,-3
12,Minnesota Wild,2008,6,2,4,0,2,1,0.333,12,17,-5
13,Anaheim Ducks,2008,6,2,4,0,0,0,0.333,13,20,-7
14,Nashville Predators,2008,6,2,4,0,0,1,0.333,12,17,-5
15,New Jersey Devils,2008,5,1,4,0,1,0,0.2,12,19,-7
16,Ottawa Senators,2008,4,0,4,0,0,0,0,5,16,-11
