Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,2013,23,16,7,0,5,2,0.696,64,48,16
2,Boston Bruins,2013,22,14,8,0,5,3,0.636,65,47,18
3,Los Angeles Kings,2013,18,9,9,0,1,3,0.5,37,34,3
4,Pittsburgh Penguins,2013,15,8,7,0,2,2,0.533,49,40,9
5,San Jose Sharks,2013,11,7,4,0,3,0,0.636,25,22,3
6,Detroit Red Wings,2013,14,7,7,0,3,2,0.5,33,37,-4
7,Ottawa Senators,2013,10,5,5,0,2,0,0.5,31,31,0
8,New York Rangers,2013,12,5,7,0,1,3,0.417,26,28,-2
9,Anaheim Ducks,2013,7,3,4,0,1,3,0.429,21,18,3
10,Toronto Maple Leafs,2013,7,3,4,0,0,2,0.429,18,22,-4
11,Washington Capitals,2013,7,3,4,0,2,0,0.429,12,16,-4
12,St. Louis Blues,2013,6,2,4,0,1,1,0.333,10,12,-2
13,New York Islanders,2013,6,2,4,0,0,2,0.333,17,25,-8
14,Minnesota Wild,2013,5,1,4,0,1,1,0.2,7,17,-10
15,Montreal Canadiens,2013,5,1,4,0,0,1,0.2,9,20,-11
16,Vancouver Canucks,2013,4,0,4,0,0,2,0,8,15,-7
