Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Boston Bruins,2011,25,16,9,0,4,1,0.64,81,53,28
2,Vancouver Canucks,2011,25,15,10,0,4,2,0.6,58,69,-11
3,Tampa Bay Lightning,2011,18,11,7,0,1,1,0.611,59,45,14
4,San Jose Sharks,2011,18,9,9,0,5,1,0.5,51,58,-7
5,Detroit Red Wings,2011,11,7,4,0,0,2,0.636,36,28,8
6,Nashville Predators,2011,12,6,6,0,2,1,0.5,33,34,-1
7,Washington Capitals,2011,9,4,5,0,2,1,0.444,23,24,-1
8,Philadelphia Flyers,2011,11,4,7,0,1,2,0.364,29,38,-9
9,Pittsburgh Penguins,2011,7,3,4,0,1,0,0.429,14,22,-8
10,Chicago Blackhawks,2011,7,3,4,0,1,1,0.429,22,16,6
11,Montreal Canadiens,2011,7,3,4,0,0,3,0.429,17,17,0
12,Buffalo Sabres,2011,7,3,4,0,1,1,0.429,18,22,-4
13,Anaheim Ducks,2011,6,2,4,0,0,1,0.333,20,22,-2
14,Los Angeles Kings,2011,6,2,4,0,0,3,0.333,20,20,0
15,New York Rangers,2011,5,1,4,0,0,2,0.2,8,13,-5
16,Phoenix Coyotes,2011,4,0,4,0,0,0,0,10,18,-8
