Rk,Team,season,GP,W,L,T,OW,OL,W-L%,G,GA,DIFF
1,Chicago Blackhawks,2010,22,16,6,0,3,1,0.727,78,62,16
2,Philadelphia Flyers,2010,23,14,9,0,3,2,0.609,76,61,15
3,Montreal Canadiens,2010,19,9,10,0,1,1,0.474,46,57,-11
4,San Jose Sharks,2010,15,8,7,0,3,2,0.533,41,41,0
5,Pittsburgh Penguins,2010,13,7,6,0,1,1,0.538,42,38,4
6,Boston Bruins,2010,13,7,6,0,2,1,0.538,36,37,-1
7,Vancouver Canucks,2010,12,6,6,0,1,1,0.5,43,41,2
8,Detroit Red Wings,2010,12,5,7,0,0,1,0.417,43,33,10
9,Phoenix Coyotes,2010,7,3,4,0,0,0,0.429,18,26,-8
10,Washington Capitals,2010,7,3,4,0,1,1,0.429,22,20,2
11,Ottawa Senators,2010,6,2,4,0,1,1,0.333,19,24,-5
12,Colorado Avalanche,2010,6,2,4,0,1,2,0.333,11,19,-8
13,Buffalo Sabres,2010,6,2,4,0,0,1,0.333,15,16,-1
14,Los Angeles Kings,2010,6,2,4,0,1,1,0.333,18,25,-7
15,Nashville Predators,2010,6,2,4,0,0,1,0.333,15,17,-2
16,New Jersey Devils,2010,5,1,4,0,0,1,0.2,9,15,-6
